billet_id,officer_id,preference
1,1,25
1,2,13
1,3,6
1,4,16
1,5,1
1,6,7
1,7,19
1,8,14
1,9,2
1,10,5
1,11,8
1,12,20
1,13,18
1,14,22
1,15,12
1,16,23
1,17,4
1,18,26
1,19,10
1,20,17
1,21,9
1,22,11
1,23,3
1,24,15
1,25,24
1,26,21
2,1,2
2,2,9
2,3,23
2,4,12
2,5,1
2,6,5
2,7,20
2,8,16
2,9,11
2,10,10
2,11,25
2,12,8
2,13,17
2,14,21
2,15,14
2,16,15
2,17,24
2,18,6
2,19,4
2,20,19
2,21,18
2,22,22
2,23,13
2,24,7
2,25,3
2,26,26
3,1,3
3,2,12
3,3,13
3,4,5
3,5,6
3,6,14
3,7,20
3,8,17
3,9,21
3,10,25
3,11,2
3,12,18
3,13,19
3,14,4
3,15,16
3,16,24
3,17,11
3,18,15
3,19,10
3,20,26
3,21,7
3,22,23
3,23,9
3,24,1
3,25,22
3,26,8
4,1,20
4,2,10
4,3,16
4,4,2
4,5,24
4,6,21
4,7,8
4,8,22
4,9,26
4,10,25
4,11,18
4,12,4
4,13,15
4,14,13
4,15,5
4,16,1
4,17,17
4,18,12
4,19,6
4,20,23
4,21,11
4,22,7
4,23,19
4,24,3
4,25,14
4,26,9
5,1,2
5,2,17
5,3,10
5,4,13
5,5,14
5,6,5
5,7,19
5,8,6
5,9,9
5,10,11
5,11,24
5,12,21
5,13,12
5,14,26
5,15,16
5,16,1
5,17,4
5,18,22
5,19,25
5,20,18
5,21,15
5,22,20
5,23,8
5,24,23
5,25,7
5,26,3
6,1,2
6,2,10
6,3,23
6,4,6
6,5,8
6,6,16
6,7,4
6,8,18
6,9,17
6,10,1
6,11,22
6,12,3
6,13,13
6,14,24
6,15,19
6,16,26
6,17,9
6,18,21
6,19,7
6,20,15
6,21,14
6,22,20
6,23,12
6,24,25
6,25,5
6,26,11
7,1,16
7,2,22
7,3,14
7,4,6
7,5,21
7,6,1
7,7,13
7,8,19
7,9,20
7,10,26
7,11,9
7,12,25
7,13,10
7,14,12
7,15,17
7,16,8
7,17,24
7,18,2
7,19,15
7,20,11
7,21,5
7,22,4
7,23,7
7,24,3
7,25,18
7,26,23
8,1,16
8,2,15
8,3,26
8,4,8
8,5,12
8,6,18
8,7,9
8,8,14
8,9,3
8,10,5
8,11,2
8,12,13
8,13,6
8,14,4
8,15,22
8,16,21
8,17,7
8,18,11
8,19,23
8,20,10
8,21,20
8,22,25
8,23,24
8,24,17
8,25,1
8,26,19
9,1,8
9,2,12
9,3,10
9,4,5
9,5,1
9,6,9
9,7,4
9,8,20
9,9,3
9,10,16
9,11,21
9,12,26
9,13,19
9,14,13
9,15,14
9,16,23
9,17,7
9,18,6
9,19,17
9,20,2
9,21,15
9,22,22
9,23,25
9,24,11
9,25,18
9,26,24
10,1,23
10,2,1
10,3,3
10,4,15
10,5,20
10,6,22
10,7,25
10,8,9
10,9,18
10,10,8
10,11,13
10,12,12
10,13,11
10,14,16
10,15,2
10,16,5
10,17,21
10,18,10
10,19,6
10,20,7
10,21,19
10,22,4
10,23,17
10,24,24
10,25,14
10,26,26
11,1,10
11,2,6
11,3,20
11,4,16
11,5,5
11,6,3
11,7,15
11,8,4
11,9,14
11,10,7
11,11,1
11,12,8
11,13,17
11,14,18
11,15,22
11,16,2
11,17,19
11,18,12
11,19,26
11,20,24
11,21,21
11,22,11
11,23,23
11,24,25
11,25,9
11,26,13
12,1,3
12,2,13
12,3,17
12,4,19
12,5,2
12,6,15
12,7,20
12,8,5
12,9,22
12,10,8
12,11,12
12,12,10
12,13,21
12,14,16
12,15,1
12,16,14
12,17,25
12,18,11
12,19,7
12,20,24
12,21,18
12,22,23
12,23,6
12,24,9
12,25,4
12,26,26
13,1,26
13,2,4
13,3,20
13,4,13
13,5,21
13,6,15
13,7,5
13,8,11
13,9,6
13,10,22
13,11,7
13,12,9
13,13,19
13,14,14
13,15,16
13,16,23
13,17,18
13,18,24
13,19,17
13,20,2
13,21,3
13,22,10
13,23,12
13,24,1
13,25,25
13,26,8
14,1,10
14,2,14
14,3,21
14,4,16
14,5,23
14,6,25
14,7,2
14,8,3
14,9,19
14,10,18
14,11,17
14,12,7
14,13,6
14,14,9
14,15,1
14,16,4
14,17,11
14,18,20
14,19,13
14,20,22
14,21,8
14,22,5
14,23,12
14,24,24
14,25,15
14,26,26
15,1,25
15,2,21
15,3,6
15,4,8
15,5,3
15,6,4
15,7,18
15,8,13
15,9,12
15,10,14
15,11,5
15,12,16
15,13,10
15,14,17
15,15,20
15,16,1
15,17,7
15,18,15
15,19,2
15,20,26
15,21,23
15,22,19
15,23,9
15,24,22
15,25,24
15,26,11
16,1,4
16,2,11
16,3,6
16,4,3
16,5,15
16,6,18
16,7,12
16,8,24
16,9,20
16,10,26
16,11,7
16,12,9
16,13,1
16,14,22
16,15,8
16,16,5
16,17,19
16,18,23
16,19,14
16,20,16
16,21,25
16,22,2
16,23,13
16,24,10
16,25,21
16,26,17
17,1,1
17,2,3
17,3,7
17,4,9
17,5,12
17,6,4
17,7,16
17,8,14
17,9,24
17,10,20
17,11,10
17,12,8
17,13,26
17,14,21
17,15,18
17,16,5
17,17,17
17,18,22
17,19,11
17,20,15
17,21,6
17,22,25
17,23,19
17,24,23
17,25,2
17,26,13
18,1,8
18,2,15
18,3,23
18,4,16
18,5,11
18,6,19
18,7,13
18,8,20
18,9,18
18,10,7
18,11,5
18,12,17
18,13,3
18,14,6
18,15,1
18,16,22
18,17,4
18,18,25
18,19,24
18,20,14
18,21,12
18,22,26
18,23,21
18,24,9
18,25,10
18,26,2
19,1,4
19,2,20
19,3,26
19,4,19
19,5,11
19,6,16
19,7,18
19,8,24
19,9,9
19,10,5
19,11,7
19,12,2
19,13,6
19,14,22
19,15,8
19,16,10
19,17,25
19,18,3
19,19,23
19,20,14
19,21,12
19,22,13
19,23,15
19,24,1
19,25,17
19,26,21
20,1,9
20,2,8
20,3,13
20,4,20
20,5,18
20,6,6
20,7,24
20,8,3
20,9,19
20,10,1
20,11,23
20,12,11
20,13,26
20,14,14
20,15,5
20,16,17
20,17,25
20,18,22
20,19,12
20,20,10
20,21,21
20,22,4
20,23,7
20,24,2
20,25,16
20,26,15
21,1,24
21,2,17
21,3,5
21,4,16
21,5,6
21,6,3
21,7,22
21,8,26
21,9,7
21,10,12
21,11,23
21,12,21
21,13,9
21,14,11
21,15,8
21,16,2
21,17,19
21,18,4
21,19,25
21,20,20
21,21,18
21,22,10
21,23,1
21,24,13
21,25,15
21,26,14
22,1,17
22,2,14
22,3,9
22,4,22
22,5,4
22,6,19
22,7,3
22,8,5
22,9,8
22,10,12
22,11,15
22,12,2
22,13,25
22,14,11
22,15,7
22,16,6
22,17,23
22,18,21
22,19,16
22,20,24
22,21,1
22,22,20
22,23,26
22,24,10
22,25,13
22,26,18
