command_id,officer_id,preference,command_name,billet_count_max,officer_tag
201,401,58,NH Guam,1,xvxe
201,402,30,NH Guam,1,kobl
201,403,15,NH Guam,1,x0qi
201,404,40,NH Guam,1,pd7n
201,405,2,NH Guam,1,87cl
201,406,17,NH Guam,1,m8w6
201,407,53,NH Guam,1,wnaf
201,408,59,NH Guam,1,as5q
201,409,5,NH Guam,1,pb8x
201,410,14,NH Guam,1,5t8r
201,411,25,NH Guam,1,2tb7
201,412,45,NH Guam,1,9aa1
201,413,6,NH Guam,1,5sjg
201,414,3,NH Guam,1,k1lv
201,415,46,NH Guam,1,cn7q
201,416,34,NH Guam,1,1qhj
201,417,18,NH Guam,1,s9l6
201,418,4,NH Guam,1,bakn
201,419,20,NH Guam,1,pt9y
201,420,27,NH Guam,1,paed
201,421,50,NH Guam,1,zaif
201,422,33,NH Guam,1,h8pg
201,423,61,NH Guam,1,vqdq
201,424,57,NH Guam,1,d6hs
201,425,60,NH Guam,1,tb5t
201,426,16,NH Guam,1,d2nz
201,427,49,NH Guam,1,9je3
201,428,13,NH Guam,1,vzno
201,429,32,NH Guam,1,85i6
201,430,39,NH Guam,1,zkff
201,431,1,NH Guam,1,6ust
201,432,7,NH Guam,1,785o
201,433,55,NH Guam,1,6zmz
201,434,24,NH Guam,1,525l
201,435,37,NH Guam,1,cbku
201,436,28,NH Guam,1,0cot
201,437,56,NH Guam,1,ojoz
201,438,35,NH Guam,1,tun2
201,439,41,NH Guam,1,ob7u
201,440,9,NH Guam,1,27vk
201,441,48,NH Guam,1,ovvy
201,442,26,NH Guam,1,bqrp
201,443,44,NH Guam,1,yocg
201,444,52,NH Guam,1,yk8a
201,445,23,NH Guam,1,fg86
201,446,19,NH Guam,1,wfv3
201,447,22,NH Guam,1,goed
201,448,47,NH Guam,1,nkql
201,449,38,NH Guam,1,lptr
201,450,51,NH Guam,1,2w56
201,451,29,NH Guam,1,fjh2
201,452,10,NH Guam,1,lsg3
201,453,62,NH Guam,1,lgds
201,454,12,NH Guam,1,jp1a
201,455,54,NH Guam,1,zs4z
201,456,11,NH Guam,1,0izt
201,457,31,NH Guam,1,7-Jun
201,458,43,NH Guam,1,jmhn
201,459,8,NH Guam,1,zpzj
201,460,36,NH Guam,1,q5lj
201,461,42,NH Guam,1,rzj1
201,462,21,NH Guam,1,hw3p
202,401,5,WRNMMC,0,xvxe
202,402,56,WRNMMC,0,kobl
202,403,51,WRNMMC,0,x0qi
202,404,15,WRNMMC,0,pd7n
202,405,8,WRNMMC,0,87cl
202,406,20,WRNMMC,0,m8w6
202,407,19,WRNMMC,0,wnaf
202,408,9,WRNMMC,0,as5q
202,409,27,WRNMMC,0,pb8x
202,410,17,WRNMMC,0,5t8r
202,411,61,WRNMMC,0,2tb7
202,412,43,WRNMMC,0,9aa1
202,413,22,WRNMMC,0,5sjg
202,414,3,WRNMMC,0,k1lv
202,415,57,WRNMMC,0,cn7q
202,416,23,WRNMMC,0,1qhj
202,417,35,WRNMMC,0,s9l6
202,418,18,WRNMMC,0,bakn
202,419,28,WRNMMC,0,pt9y
202,420,49,WRNMMC,0,paed
202,421,30,WRNMMC,0,zaif
202,422,40,WRNMMC,0,h8pg
202,423,59,WRNMMC,0,vqdq
202,424,32,WRNMMC,0,d6hs
202,425,53,WRNMMC,0,tb5t
202,426,48,WRNMMC,0,d2nz
202,427,16,WRNMMC,0,9je3
202,428,55,WRNMMC,0,vzno
202,429,46,WRNMMC,0,85i6
202,430,31,WRNMMC,0,zkff
202,431,13,WRNMMC,0,6ust
202,432,60,WRNMMC,0,785o
202,433,44,WRNMMC,0,6zmz
202,434,14,WRNMMC,0,525l
202,435,21,WRNMMC,0,cbku
202,436,4,WRNMMC,0,0cot
202,437,54,WRNMMC,0,ojoz
202,438,34,WRNMMC,0,tun2
202,439,26,WRNMMC,0,ob7u
202,440,42,WRNMMC,0,27vk
202,441,7,WRNMMC,0,ovvy
202,442,62,WRNMMC,0,bqrp
202,443,2,WRNMMC,0,yocg
202,444,39,WRNMMC,0,yk8a
202,445,50,WRNMMC,0,fg86
202,446,10,WRNMMC,0,wfv3
202,447,38,WRNMMC,0,goed
202,448,24,WRNMMC,0,nkql
202,449,29,WRNMMC,0,lptr
202,450,41,WRNMMC,0,2w56
202,451,6,WRNMMC,0,fjh2
202,452,45,WRNMMC,0,lsg3
202,453,12,WRNMMC,0,lgds
202,454,33,WRNMMC,0,jp1a
202,455,11,WRNMMC,0,zs4z
202,456,1,WRNMMC,0,0izt
202,457,47,WRNMMC,0,7-Jun
202,458,58,WRNMMC,0,jmhn
202,459,37,WRNMMC,0,zpzj
202,460,52,WRNMMC,0,q5lj
202,461,36,WRNMMC,0,rzj1
202,462,25,WRNMMC,0,hw3p
203,401,44,Lejeune MEU,2,xvxe
203,402,53,Lejeune MEU,2,kobl
203,403,5,Lejeune MEU,2,x0qi
203,404,28,Lejeune MEU,2,pd7n
203,405,14,Lejeune MEU,2,87cl
203,406,8,Lejeune MEU,2,m8w6
203,407,4,Lejeune MEU,2,wnaf
203,408,21,Lejeune MEU,2,as5q
203,409,51,Lejeune MEU,2,pb8x
203,410,13,Lejeune MEU,2,5t8r
203,411,18,Lejeune MEU,2,2tb7
203,412,39,Lejeune MEU,2,9aa1
203,413,57,Lejeune MEU,2,5sjg
203,414,46,Lejeune MEU,2,k1lv
203,415,45,Lejeune MEU,2,cn7q
203,416,3,Lejeune MEU,2,1qhj
203,417,55,Lejeune MEU,2,s9l6
203,418,50,Lejeune MEU,2,bakn
203,419,54,Lejeune MEU,2,pt9y
203,420,19,Lejeune MEU,2,paed
203,421,56,Lejeune MEU,2,zaif
203,422,7,Lejeune MEU,2,h8pg
203,423,35,Lejeune MEU,2,vqdq
203,424,33,Lejeune MEU,2,d6hs
203,425,34,Lejeune MEU,2,tb5t
203,426,15,Lejeune MEU,2,d2nz
203,427,62,Lejeune MEU,2,9je3
203,428,22,Lejeune MEU,2,vzno
203,429,2,Lejeune MEU,2,85i6
203,430,27,Lejeune MEU,2,zkff
203,431,10,Lejeune MEU,2,6ust
203,432,24,Lejeune MEU,2,785o
203,433,52,Lejeune MEU,2,6zmz
203,434,25,Lejeune MEU,2,525l
203,435,16,Lejeune MEU,2,cbku
203,436,41,Lejeune MEU,2,0cot
203,437,31,Lejeune MEU,2,ojoz
203,438,1,Lejeune MEU,2,tun2
203,439,59,Lejeune MEU,2,ob7u
203,440,23,Lejeune MEU,2,27vk
203,441,37,Lejeune MEU,2,ovvy
203,442,20,Lejeune MEU,2,bqrp
203,443,11,Lejeune MEU,2,yocg
203,444,38,Lejeune MEU,2,yk8a
203,445,61,Lejeune MEU,2,fg86
203,446,26,Lejeune MEU,2,wfv3
203,447,12,Lejeune MEU,2,goed
203,448,49,Lejeune MEU,2,nkql
203,449,30,Lejeune MEU,2,lptr
203,450,43,Lejeune MEU,2,2w56
203,451,29,Lejeune MEU,2,fjh2
203,452,58,Lejeune MEU,2,lsg3
203,453,48,Lejeune MEU,2,lgds
203,454,6,Lejeune MEU,2,jp1a
203,455,17,Lejeune MEU,2,zs4z
203,456,36,Lejeune MEU,2,0izt
203,457,9,Lejeune MEU,2,7-Jun
203,458,60,Lejeune MEU,2,jmhn
203,459,47,Lejeune MEU,2,zpzj
203,460,40,Lejeune MEU,2,q5lj
203,461,42,Lejeune MEU,2,rzj1
203,462,32,Lejeune MEU,2,hw3p
204,401,32,Lejeune MLG,2,xvxe
204,402,52,Lejeune MLG,2,kobl
204,403,26,Lejeune MLG,2,x0qi
204,404,41,Lejeune MLG,2,pd7n
204,405,8,Lejeune MLG,2,87cl
204,406,15,Lejeune MLG,2,m8w6
204,407,7,Lejeune MLG,2,wnaf
204,408,45,Lejeune MLG,2,as5q
204,409,24,Lejeune MLG,2,pb8x
204,410,16,Lejeune MLG,2,5t8r
204,411,61,Lejeune MLG,2,2tb7
204,412,12,Lejeune MLG,2,9aa1
204,413,62,Lejeune MLG,2,5sjg
204,414,14,Lejeune MLG,2,k1lv
204,415,44,Lejeune MLG,2,cn7q
204,416,55,Lejeune MLG,2,1qhj
204,417,20,Lejeune MLG,2,s9l6
204,418,36,Lejeune MLG,2,bakn
204,419,21,Lejeune MLG,2,pt9y
204,420,17,Lejeune MLG,2,paed
204,421,46,Lejeune MLG,2,zaif
204,422,29,Lejeune MLG,2,h8pg
204,423,13,Lejeune MLG,2,vqdq
204,424,18,Lejeune MLG,2,d6hs
204,425,57,Lejeune MLG,2,tb5t
204,426,58,Lejeune MLG,2,d2nz
204,427,2,Lejeune MLG,2,9je3
204,428,38,Lejeune MLG,2,vzno
204,429,56,Lejeune MLG,2,85i6
204,430,34,Lejeune MLG,2,zkff
204,431,5,Lejeune MLG,2,6ust
204,432,30,Lejeune MLG,2,785o
204,433,43,Lejeune MLG,2,6zmz
204,434,35,Lejeune MLG,2,525l
204,435,33,Lejeune MLG,2,cbku
204,436,27,Lejeune MLG,2,0cot
204,437,28,Lejeune MLG,2,ojoz
204,438,10,Lejeune MLG,2,tun2
204,439,31,Lejeune MLG,2,ob7u
204,440,59,Lejeune MLG,2,27vk
204,441,53,Lejeune MLG,2,ovvy
204,442,4,Lejeune MLG,2,bqrp
204,443,42,Lejeune MLG,2,yocg
204,444,3,Lejeune MLG,2,yk8a
204,445,22,Lejeune MLG,2,fg86
204,446,1,Lejeune MLG,2,wfv3
204,447,37,Lejeune MLG,2,goed
204,448,49,Lejeune MLG,2,nkql
204,449,51,Lejeune MLG,2,lptr
204,450,54,Lejeune MLG,2,2w56
204,451,47,Lejeune MLG,2,fjh2
204,452,60,Lejeune MLG,2,lsg3
204,453,9,Lejeune MLG,2,lgds
204,454,25,Lejeune MLG,2,jp1a
204,455,40,Lejeune MLG,2,zs4z
204,456,48,Lejeune MLG,2,0izt
204,457,6,Lejeune MLG,2,7-Jun
204,458,19,Lejeune MLG,2,jmhn
204,459,11,Lejeune MLG,2,zpzj
204,460,50,Lejeune MLG,2,q5lj
204,461,23,Lejeune MLG,2,rzj1
204,462,39,Lejeune MLG,2,hw3p
205,401,10,NHCL,3,xvxe
205,402,23,NHCL,3,kobl
205,403,5,NHCL,3,x0qi
205,404,4,NHCL,3,pd7n
205,405,40,NHCL,3,87cl
205,406,52,NHCL,3,m8w6
205,407,8,NHCL,3,wnaf
205,408,44,NHCL,3,as5q
205,409,12,NHCL,3,pb8x
205,410,58,NHCL,3,5t8r
205,411,15,NHCL,3,2tb7
205,412,46,NHCL,3,9aa1
205,413,19,NHCL,3,5sjg
205,414,62,NHCL,3,k1lv
205,415,53,NHCL,3,cn7q
205,416,33,NHCL,3,1qhj
205,417,49,NHCL,3,s9l6
205,418,60,NHCL,3,bakn
205,419,47,NHCL,3,pt9y
205,420,56,NHCL,3,paed
205,421,32,NHCL,3,zaif
205,422,57,NHCL,3,h8pg
205,423,2,NHCL,3,vqdq
205,424,21,NHCL,3,d6hs
205,425,18,NHCL,3,tb5t
205,426,38,NHCL,3,d2nz
205,427,13,NHCL,3,9je3
205,428,59,NHCL,3,vzno
205,429,54,NHCL,3,85i6
205,430,17,NHCL,3,zkff
205,431,41,NHCL,3,6ust
205,432,42,NHCL,3,785o
205,433,34,NHCL,3,6zmz
205,434,11,NHCL,3,525l
205,435,6,NHCL,3,cbku
205,436,39,NHCL,3,0cot
205,437,55,NHCL,3,ojoz
205,438,22,NHCL,3,tun2
205,439,3,NHCL,3,ob7u
205,440,30,NHCL,3,27vk
205,441,31,NHCL,3,ovvy
205,442,37,NHCL,3,bqrp
205,443,48,NHCL,3,yocg
205,444,36,NHCL,3,yk8a
205,445,27,NHCL,3,fg86
205,446,45,NHCL,3,wfv3
205,447,20,NHCL,3,goed
205,448,7,NHCL,3,nkql
205,449,29,NHCL,3,lptr
205,450,9,NHCL,3,2w56
205,451,50,NHCL,3,fjh2
205,452,51,NHCL,3,lsg3
205,453,1,NHCL,3,lgds
205,454,43,NHCL,3,jp1a
205,455,14,NHCL,3,zs4z
205,456,61,NHCL,3,0izt
205,457,26,NHCL,3,7-Jun
205,458,28,NHCL,3,jmhn
205,459,25,NHCL,3,zpzj
205,460,24,NHCL,3,q5lj
205,461,35,NHCL,3,rzj1
205,462,16,NHCL,3,hw3p
206,401,57,NH Oki,0,xvxe
206,402,7,NH Oki,0,kobl
206,403,60,NH Oki,0,x0qi
206,404,8,NH Oki,0,pd7n
206,405,47,NH Oki,0,87cl
206,406,30,NH Oki,0,m8w6
206,407,54,NH Oki,0,wnaf
206,408,38,NH Oki,0,as5q
206,409,14,NH Oki,0,pb8x
206,410,62,NH Oki,0,5t8r
206,411,16,NH Oki,0,2tb7
206,412,43,NH Oki,0,9aa1
206,413,21,NH Oki,0,5sjg
206,414,28,NH Oki,0,k1lv
206,415,55,NH Oki,0,cn7q
206,416,39,NH Oki,0,1qhj
206,417,24,NH Oki,0,s9l6
206,418,42,NH Oki,0,bakn
206,419,46,NH Oki,0,pt9y
206,420,50,NH Oki,0,paed
206,421,25,NH Oki,0,zaif
206,422,59,NH Oki,0,h8pg
206,423,20,NH Oki,0,vqdq
206,424,18,NH Oki,0,d6hs
206,425,15,NH Oki,0,tb5t
206,426,2,NH Oki,0,d2nz
206,427,23,NH Oki,0,9je3
206,428,29,NH Oki,0,vzno
206,429,13,NH Oki,0,85i6
206,430,58,NH Oki,0,zkff
206,431,27,NH Oki,0,6ust
206,432,22,NH Oki,0,785o
206,433,31,NH Oki,0,6zmz
206,434,19,NH Oki,0,525l
206,435,37,NH Oki,0,cbku
206,436,4,NH Oki,0,0cot
206,437,32,NH Oki,0,ojoz
206,438,26,NH Oki,0,tun2
206,439,45,NH Oki,0,ob7u
206,440,10,NH Oki,0,27vk
206,441,41,NH Oki,0,ovvy
206,442,56,NH Oki,0,bqrp
206,443,1,NH Oki,0,yocg
206,444,6,NH Oki,0,yk8a
206,445,35,NH Oki,0,fg86
206,446,44,NH Oki,0,wfv3
206,447,3,NH Oki,0,goed
206,448,33,NH Oki,0,nkql
206,449,5,NH Oki,0,lptr
206,450,34,NH Oki,0,2w56
206,451,40,NH Oki,0,fjh2
206,452,61,NH Oki,0,lsg3
206,453,36,NH Oki,0,lgds
206,454,49,NH Oki,0,jp1a
206,455,53,NH Oki,0,zs4z
206,456,48,NH Oki,0,0izt
206,457,9,NH Oki,0,7-Jun
206,458,11,NH Oki,0,jmhn
206,459,12,NH Oki,0,zpzj
206,460,17,NH Oki,0,q5lj
206,461,51,NH Oki,0,rzj1
206,462,52,NH Oki,0,hw3p
207,401,41,Oki MLG,2,xvxe
207,402,50,Oki MLG,2,kobl
207,403,19,Oki MLG,2,x0qi
207,404,18,Oki MLG,2,pd7n
207,405,40,Oki MLG,2,87cl
207,406,42,Oki MLG,2,m8w6
207,407,54,Oki MLG,2,wnaf
207,408,2,Oki MLG,2,as5q
207,409,38,Oki MLG,2,pb8x
207,410,25,Oki MLG,2,5t8r
207,411,13,Oki MLG,2,2tb7
207,412,26,Oki MLG,2,9aa1
207,413,15,Oki MLG,2,5sjg
207,414,39,Oki MLG,2,k1lv
207,415,44,Oki MLG,2,cn7q
207,416,36,Oki MLG,2,1qhj
207,417,24,Oki MLG,2,s9l6
207,418,17,Oki MLG,2,bakn
207,419,7,Oki MLG,2,pt9y
207,420,59,Oki MLG,2,paed
207,421,11,Oki MLG,2,zaif
207,422,5,Oki MLG,2,h8pg
207,423,27,Oki MLG,2,vqdq
207,424,33,Oki MLG,2,d6hs
207,425,22,Oki MLG,2,tb5t
207,426,12,Oki MLG,2,d2nz
207,427,23,Oki MLG,2,9je3
207,428,8,Oki MLG,2,vzno
207,429,61,Oki MLG,2,85i6
207,430,60,Oki MLG,2,zkff
207,431,3,Oki MLG,2,6ust
207,432,20,Oki MLG,2,785o
207,433,43,Oki MLG,2,6zmz
207,434,52,Oki MLG,2,525l
207,435,45,Oki MLG,2,cbku
207,436,9,Oki MLG,2,0cot
207,437,32,Oki MLG,2,ojoz
207,438,46,Oki MLG,2,tun2
207,439,30,Oki MLG,2,ob7u
207,440,48,Oki MLG,2,27vk
207,441,37,Oki MLG,2,ovvy
207,442,29,Oki MLG,2,bqrp
207,443,62,Oki MLG,2,yocg
207,444,34,Oki MLG,2,yk8a
207,445,1,Oki MLG,2,fg86
207,446,55,Oki MLG,2,wfv3
207,447,31,Oki MLG,2,goed
207,448,6,Oki MLG,2,nkql
207,449,35,Oki MLG,2,lptr
207,450,51,Oki MLG,2,2w56
207,451,10,Oki MLG,2,fjh2
207,452,58,Oki MLG,2,lsg3
207,453,4,Oki MLG,2,lgds
207,454,57,Oki MLG,2,jp1a
207,455,16,Oki MLG,2,zs4z
207,456,56,Oki MLG,2,0izt
207,457,53,Oki MLG,2,7-Jun
207,458,28,Oki MLG,2,jmhn
207,459,21,Oki MLG,2,zpzj
207,460,14,Oki MLG,2,q5lj
207,461,47,Oki MLG,2,rzj1
207,462,49,Oki MLG,2,hw3p
208,401,32,Oki MEU,1,xvxe
208,402,36,Oki MEU,1,kobl
208,403,59,Oki MEU,1,x0qi
208,404,27,Oki MEU,1,pd7n
208,405,6,Oki MEU,1,87cl
208,406,56,Oki MEU,1,m8w6
208,407,44,Oki MEU,1,wnaf
208,408,25,Oki MEU,1,as5q
208,409,17,Oki MEU,1,pb8x
208,410,62,Oki MEU,1,5t8r
208,411,49,Oki MEU,1,2tb7
208,412,35,Oki MEU,1,9aa1
208,413,55,Oki MEU,1,5sjg
208,414,43,Oki MEU,1,k1lv
208,415,30,Oki MEU,1,cn7q
208,416,31,Oki MEU,1,1qhj
208,417,46,Oki MEU,1,s9l6
208,418,19,Oki MEU,1,bakn
208,419,12,Oki MEU,1,pt9y
208,420,18,Oki MEU,1,paed
208,421,7,Oki MEU,1,zaif
208,422,54,Oki MEU,1,h8pg
208,423,4,Oki MEU,1,vqdq
208,424,37,Oki MEU,1,d6hs
208,425,14,Oki MEU,1,tb5t
208,426,29,Oki MEU,1,d2nz
208,427,22,Oki MEU,1,9je3
208,428,15,Oki MEU,1,vzno
208,429,58,Oki MEU,1,85i6
208,430,48,Oki MEU,1,zkff
208,431,34,Oki MEU,1,6ust
208,432,61,Oki MEU,1,785o
208,433,10,Oki MEU,1,6zmz
208,434,38,Oki MEU,1,525l
208,435,40,Oki MEU,1,cbku
208,436,47,Oki MEU,1,0cot
208,437,28,Oki MEU,1,ojoz
208,438,20,Oki MEU,1,tun2
208,439,57,Oki MEU,1,ob7u
208,440,52,Oki MEU,1,27vk
208,441,50,Oki MEU,1,ovvy
208,442,5,Oki MEU,1,bqrp
208,443,33,Oki MEU,1,yocg
208,444,21,Oki MEU,1,yk8a
208,445,8,Oki MEU,1,fg86
208,446,2,Oki MEU,1,wfv3
208,447,42,Oki MEU,1,goed
208,448,13,Oki MEU,1,nkql
208,449,9,Oki MEU,1,lptr
208,450,24,Oki MEU,1,2w56
208,451,11,Oki MEU,1,fjh2
208,452,26,Oki MEU,1,lsg3
208,453,45,Oki MEU,1,lgds
208,454,23,Oki MEU,1,jp1a
208,455,60,Oki MEU,1,zs4z
208,456,51,Oki MEU,1,0izt
208,457,3,Oki MEU,1,7-Jun
208,458,1,Oki MEU,1,jmhn
208,459,39,Oki MEU,1,zpzj
208,460,41,Oki MEU,1,q5lj
208,461,16,Oki MEU,1,rzj1
208,462,53,Oki MEU,1,hw3p
209,401,32,NHCP,3,xvxe
209,402,53,NHCP,3,kobl
209,403,48,NHCP,3,x0qi
209,404,16,NHCP,3,pd7n
209,405,36,NHCP,3,87cl
209,406,7,NHCP,3,m8w6
209,407,57,NHCP,3,wnaf
209,408,2,NHCP,3,as5q
209,409,43,NHCP,3,pb8x
209,410,37,NHCP,3,5t8r
209,411,33,NHCP,3,2tb7
209,412,34,NHCP,3,9aa1
209,413,19,NHCP,3,5sjg
209,414,3,NHCP,3,k1lv
209,415,61,NHCP,3,cn7q
209,416,11,NHCP,3,1qhj
209,417,29,NHCP,3,s9l6
209,418,62,NHCP,3,bakn
209,419,38,NHCP,3,pt9y
209,420,52,NHCP,3,paed
209,421,35,NHCP,3,zaif
209,422,25,NHCP,3,h8pg
209,423,60,NHCP,3,vqdq
209,424,20,NHCP,3,d6hs
209,425,42,NHCP,3,tb5t
209,426,41,NHCP,3,d2nz
209,427,56,NHCP,3,9je3
209,428,24,NHCP,3,vzno
209,429,9,NHCP,3,85i6
209,430,5,NHCP,3,zkff
209,431,51,NHCP,3,6ust
209,432,8,NHCP,3,785o
209,433,47,NHCP,3,6zmz
209,434,21,NHCP,3,525l
209,435,28,NHCP,3,cbku
209,436,54,NHCP,3,0cot
209,437,59,NHCP,3,ojoz
209,438,46,NHCP,3,tun2
209,439,26,NHCP,3,ob7u
209,440,4,NHCP,3,27vk
209,441,45,NHCP,3,ovvy
209,442,22,NHCP,3,bqrp
209,443,18,NHCP,3,yocg
209,444,15,NHCP,3,yk8a
209,445,44,NHCP,3,fg86
209,446,50,NHCP,3,wfv3
209,447,49,NHCP,3,goed
209,448,6,NHCP,3,nkql
209,449,30,NHCP,3,lptr
209,450,31,NHCP,3,2w56
209,451,13,NHCP,3,fjh2
209,452,17,NHCP,3,lsg3
209,453,23,NHCP,3,lgds
209,454,40,NHCP,3,jp1a
209,455,55,NHCP,3,zs4z
209,456,58,NHCP,3,0izt
209,457,1,NHCP,3,7-Jun
209,458,12,NHCP,3,jmhn
209,459,27,NHCP,3,zpzj
209,460,10,NHCP,3,q5lj
209,461,39,NHCP,3,rzj1
209,462,14,NHCP,3,hw3p
210,401,60,Ft Belv,1,xvxe
210,402,52,Ft Belv,1,kobl
210,403,35,Ft Belv,1,x0qi
210,404,28,Ft Belv,1,pd7n
210,405,19,Ft Belv,1,87cl
210,406,27,Ft Belv,1,m8w6
210,407,8,Ft Belv,1,wnaf
210,408,62,Ft Belv,1,as5q
210,409,3,Ft Belv,1,pb8x
210,410,25,Ft Belv,1,5t8r
210,411,31,Ft Belv,1,2tb7
210,412,51,Ft Belv,1,9aa1
210,413,17,Ft Belv,1,5sjg
210,414,24,Ft Belv,1,k1lv
210,415,34,Ft Belv,1,cn7q
210,416,15,Ft Belv,1,1qhj
210,417,44,Ft Belv,1,s9l6
210,418,47,Ft Belv,1,bakn
210,419,40,Ft Belv,1,pt9y
210,420,50,Ft Belv,1,paed
210,421,12,Ft Belv,1,zaif
210,422,20,Ft Belv,1,h8pg
210,423,9,Ft Belv,1,vqdq
210,424,39,Ft Belv,1,d6hs
210,425,23,Ft Belv,1,tb5t
210,426,57,Ft Belv,1,d2nz
210,427,5,Ft Belv,1,9je3
210,428,26,Ft Belv,1,vzno
210,429,41,Ft Belv,1,85i6
210,430,38,Ft Belv,1,zkff
210,431,58,Ft Belv,1,6ust
210,432,42,Ft Belv,1,785o
210,433,1,Ft Belv,1,6zmz
210,434,55,Ft Belv,1,525l
210,435,4,Ft Belv,1,cbku
210,436,32,Ft Belv,1,0cot
210,437,36,Ft Belv,1,ojoz
210,438,53,Ft Belv,1,tun2
210,439,54,Ft Belv,1,ob7u
210,440,37,Ft Belv,1,27vk
210,441,56,Ft Belv,1,ovvy
210,442,14,Ft Belv,1,bqrp
210,443,30,Ft Belv,1,yocg
210,444,61,Ft Belv,1,yk8a
210,445,10,Ft Belv,1,fg86
210,446,6,Ft Belv,1,wfv3
210,447,33,Ft Belv,1,goed
210,448,16,Ft Belv,1,nkql
210,449,21,Ft Belv,1,lptr
210,450,18,Ft Belv,1,2w56
210,451,2,Ft Belv,1,fjh2
210,452,29,Ft Belv,1,lsg3
210,453,59,Ft Belv,1,lgds
210,454,49,Ft Belv,1,jp1a
210,455,13,Ft Belv,1,zs4z
210,456,48,Ft Belv,1,0izt
210,457,43,Ft Belv,1,7-Jun
210,458,11,Ft Belv,1,jmhn
210,459,22,Ft Belv,1,zpzj
210,460,46,Ft Belv,1,q5lj
210,461,45,Ft Belv,1,rzj1
210,462,7,Ft Belv,1,hw3p
211,401,35,Guant,1,xvxe
211,402,19,Guant,1,kobl
211,403,29,Guant,1,x0qi
211,404,31,Guant,1,pd7n
211,405,54,Guant,1,87cl
211,406,18,Guant,1,m8w6
211,407,21,Guant,1,wnaf
211,408,25,Guant,1,as5q
211,409,50,Guant,1,pb8x
211,410,32,Guant,1,5t8r
211,411,4,Guant,1,2tb7
211,412,38,Guant,1,9aa1
211,413,52,Guant,1,5sjg
211,414,17,Guant,1,k1lv
211,415,60,Guant,1,cn7q
211,416,15,Guant,1,1qhj
211,417,44,Guant,1,s9l6
211,418,48,Guant,1,bakn
211,419,57,Guant,1,pt9y
211,420,58,Guant,1,paed
211,421,7,Guant,1,zaif
211,422,30,Guant,1,h8pg
211,423,22,Guant,1,vqdq
211,424,14,Guant,1,d6hs
211,425,20,Guant,1,tb5t
211,426,45,Guant,1,d2nz
211,427,11,Guant,1,9je3
211,428,62,Guant,1,vzno
211,429,34,Guant,1,85i6
211,430,24,Guant,1,zkff
211,431,59,Guant,1,6ust
211,432,23,Guant,1,785o
211,433,13,Guant,1,6zmz
211,434,37,Guant,1,525l
211,435,1,Guant,1,cbku
211,436,61,Guant,1,0cot
211,437,42,Guant,1,ojoz
211,438,26,Guant,1,tun2
211,439,28,Guant,1,ob7u
